"Source:","/home/tom/git/TomKeddie/prj-pcb-experiments/ft4232h-breakout/v3.x/ft4232h-breakout.kicad_sch"
"Date:","Thu 19 May 2022 01:47:25 PM"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"","","J5","JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","https://atta.szlcsc.com/upload/public/pdf/source/20211011/0B1C3F8D3B14DEB4B55195420484A083.pdf","","","C18166","","","","","PJ-3200","",""
"","","J6","JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","https://atta.szlcsc.com/upload/public/pdf/source/20211011/0B1C3F8D3B14DEB4B55195420484A083.pdf","","","C18166","","","","","PJ-3200","",""
"","","J7","JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","https://atta.szlcsc.com/upload/public/pdf/source/20211011/0B1C3F8D3B14DEB4B55195420484A083.pdf","","","C18166","","","","","PJ-3200","",""
"","","J8","JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","tom-connectors:JLCPCB_3.5MM_SOCKET_C18166","https://atta.szlcsc.com/upload/public/pdf/source/20211011/0B1C3F8D3B14DEB4B55195420484A083.pdf","","","C18166","","","","","PJ-3200","",""
"","","J9","USB_B_Micro","tom-connectors:USB_B_Micro","tom-connectors:USB_B_Micro_LCSC_C10418","~","","","C10418","","","","","","",""
"","","J10","USB_C_Receptacle_USB2.0","tom-connectors:USB_C_Receptacle_USB2.0","tom-connectors:USB_C_Receptacle_LCSC_C165948","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","C165948","","","","","","",""
"","","R1","10","jlcpcb-basic-resistor-0402:10","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF100JTCE_C25077.pdf","","","C25077","","","UNI-ROYAL(Uniroyal Elec)","0402WGF100JTCE","","",""
"","","R2","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R3","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R4","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R5","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R6","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R7","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R8","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R9","330","jlcpcb-basic-resistor-0402:330","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF3300TCE_C25104.pdf","","","C25104","","","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","","",""
"","","R10","10k","jlcpcb-basic-resistor-0402:10k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","","","C25744","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","","",""
"","","R11","10","jlcpcb-basic-resistor-0402:10","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110252230_UNI-ROYAL-Uniroyal-Elec-0402WGF100JTCE_C25077.pdf","","","C25077","","","UNI-ROYAL(Uniroyal Elec)","0402WGF100JTCE","","",""
"","","R12","15k","jlcpcb-basic-resistor-0402:15k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1502TCE_C25756.pdf","","","C25756","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1502TCE","","",""
"","","R13","10k","jlcpcb-basic-resistor-0402:10k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","","","C25744","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","","",""
"","","R14","12k","jlcpcb-basic-resistor-0402:12k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1202TCE_C25752.pdf","","","C25752","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1202TCE","","",""
"","","R15","10k","jlcpcb-basic-resistor-0402:10k","tom-passives:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","","","C25744","","","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","","",""
